,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
58764,7192787486,11905,2016.0,kia,rio5,good,4 cylinders,gas,20934.0,automatic,hatchback,34.2216,-118.413
58779,7192785999,10988,2014.0,mazda,mazda3,good,4 cylinders,gas,145443.0,automatic,hatchback,34.2216,-118.413
58792,7192785610,7995,2013.0,hyundai,accent,good,4 cylinders,gas,48337.0,automatic,hatchback,34.2216,-118.413
58802,7192784889,6988,2012.0,kia,forte 5-door,good,4 cylinders,gas,113523.0,automatic,hatchback,34.2216,-118.413
58806,7195146554,4500,2009.0,mazda,3,excellent,4 cylinders,gas,140000.0,automatic,hatchback,33.5429,-117.781
58809,7192719696,9200,2011.0,toyota,prius,excellent,4 cylinders,hybrid,100700.0,automatic,hatchback,34.2262,-118.447
58830,7190730743,6999,2017.0,mitsubishi,mirage se,good,3 cylinders,gas,41993.0,automatic,hatchback,30.4833,-97.7351
58831,7195122562,2000,2003.0,ford,explorer,good,4 cylinders,gas,186574.0,automatic,hatchback,33.838,-117.876
58832,7190728508,0,2013.0,hyundai,accent gs,good,4 cylinders,gas,77643.0,automatic,hatchback,30.4833,-97.7351
58855,7195097099,14990,2016.0,mazda,mazda3,excellent,4 cylinders,gas,57000.0,automatic,hatchback,33.7716,-118.148
58876,7184537434,10000,2016.0,mazda,mazda3 i sport,good,4 cylinders,gas,42943.0,automatic,hatchback,29.0477,-80.9364
58886,7184594937,0,2016.0,chevrolet,sonic,excellent,4 cylinders,gas,74529.0,automatic,hatchback,30.685,-88.2052
58897,7195087786,13500,2013.0,lexus,ct200h,excellent,4 cylinders,hybrid,94378.0,automatic,hatchback,33.6144,-117.643
58920,7193328358,4995,2010.0,toyota,prius hybrid,good,4 cylinders,hybrid,156400.0,automatic,hatchback,29.3499,-98.5638
58933,7185945545,11488,2015.0,fiat,500,excellent,4 cylinders,gas,75303.0,automatic,hatchback,39.2384,-84.5931
59010,7195042039,0,2017.0,honda,civic exl,like new,4 cylinders,gas,76027.0,automatic,hatchback,33.9727,-118.045
59033,7183660451,2995,2006.0,hyundai,tiburon,good,6 cylinders,gas,158542.0,automatic,hatchback,29.0422,-81.2863
59039,7183659588,4495,2006.0,chrysler,pt cruiser,excellent,4 cylinders,gas,61223.0,automatic,hatchback,29.0422,-81.2863
59040,7183659242,5295,2008.0,volkswagen,gti,excellent,4 cylinders,gas,194823.0,manual,hatchback,29.0422,-81.2863
59043,7183625028,3995,2010.0,hyundai,accent,good,4 cylinders,gas,107187.0,automatic,hatchback,29.0422,-81.2863
59045,7185845683,0,2020.0,mitsubishi,mirage,new,3 cylinders,gas,15.0,automatic,hatchback,39.2837,-84.475
59058,7183609881,5295,2012.0,kia,soul,excellent,4 cylinders,gas,96781.0,automatic,hatchback,29.0422,-81.2863
59096,7185925872,7950,2012.0,toyota,prius hybrid,excellent,4 cylinders,hybrid,154010.0,automatic,hatchback,32.4666,-86.4522
59112,7184498748,5850,2013.0,hyundai,veloster,good,4 cylinders,gas,92600.0,automatic,hatchback,32.3129,-86.2421
59167,7194967429,14999,2017.0,honda,hr-v,good,4 cylinders,gas,56850.0,automatic,hatchback,33.9301,-117.413
59198,7195002471,7895,2016.0,chevrolet,sonic lt,good,4 cylinders,gas,90393.0,automatic,hatchback,32.7246,-94.9714
59255,7191942934,26750,2018.0,honda,civic sport trg hatchback,like new,4 cylinders,gas,8203.0,automatic,hatchback,34.2656,-118.765
59276,7194924037,7995,2007.0,toyota,prius,excellent,4 cylinders,hybrid,39700.0,automatic,hatchback,33.569,-117.178
59283,7187570327,4500,2007.0,kia,rondo ex,excellent,4 cylinders,gas,106403.0,automatic,hatchback,41.9521,-91.6853
59312,7194896312,7100,2012.0,toyota,prius hybrid,like new,4 cylinders,hybrid,156694.0,automatic,hatchback,33.8873,-117.895
59315,7194888217,6000,2010.0,toyota,prius hybrid,excellent,4 cylinders,hybrid,133245.0,automatic,hatchback,33.868,-117.926
59319,7194872243,3100,2005.0,pontiac,vibe,good,4 cylinders,gas,150000.0,manual,hatchback,33.6271,-117.742
59345,7187892707,12995,2018.0,nissan,versa note sv,like new,4 cylinders,gas,30557.0,automatic,hatchback,61.1663,-149.858
59398,7194713724,8735,2012.0,lexus,ct 200h,good,4 cylinders,hybrid,168000.0,automatic,hatchback,33.6607,-117.826
59410,7185411464,0,2004.0,volkswagen,new beetle coupe,excellent,4 cylinders,gas,166402.0,automatic,hatchback,39.2868,-84.4683
59414,7194710259,6275,2011.0,toyota,prius,good,4 cylinders,hybrid,151000.0,automatic,hatchback,33.6607,-117.826
59435,7194700563,5975,2012.0,toyota,prius,good,4 cylinders,hybrid,175000.0,automatic,hatchback,33.6607,-117.826
59452,7194697618,6179,2011.0,mini,cooper s,good,4 cylinders,gas,121516.0,manual,hatchback,33.6607,-117.826
59464,7187630907,8590,2013.0,kia,soul +,like new,4 cylinders,gas,56000.0,automatic,hatchback,26.5935,-81.8638
59465,7185331656,7750,2010.0,volkswagen,gti,excellent,4 cylinders,gas,95000.0,automatic,hatchback,39.03,-84.559
