,id,price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,type,lat,long
8890,7194292244,9495,2012.0,volkswagen,eos lux sulev,good,4 cylinders,gas,103000.0,automatic,convertible,27.8802,-82.7534
8896,7180641594,8999,2006.0,bmw,325ci,excellent,6 cylinders,gas,107754.0,manual,convertible,39.1234,-121.611
8901,7194285656,6500,2010.0,volkswagen,eos komfort,good,4 cylinders,gas,105000.0,automatic,convertible,27.8802,-82.7534
8902,7194279281,5995,2009.0,volkswagen,eos komfort,good,4 cylinders,gas,82000.0,automatic,convertible,27.8802,-82.7534
8904,7194278421,6500,2009.0,volkswagen,eos lux,good,4 cylinders,gas,112000.0,automatic,convertible,27.8802,-82.7534
8925,7194272792,22990,2016.0,bmw,428 convertible,excellent,4 cylinders,gas,69998.0,automatic,convertible,28.027,-82.4599
8929,7180302046,8999,2006.0,bmw,325ci,excellent,6 cylinders,gas,107754.0,manual,convertible,39.1234,-121.611
8962,7179837091,8999,2006.0,bmw,325ci,excellent,6 cylinders,gas,107754.0,manual,convertible,39.1234,-121.611
9025,7178484649,8999,2006.0,bmw,325ci,excellent,6 cylinders,gas,107754.0,manual,convertible,39.1234,-121.611
9032,7195068976,13995,2007.0,saturn,sky,like new,4 cylinders,gas,35000.0,automatic,convertible,42.6905,-71.4334
9038,7195068449,12995,2005.0,chrysler,crossfire convertible,like new,6 cylinders,gas,75000.0,automatic,convertible,42.6901,-71.4332
9145,7193894375,3500,2003.0,mazda,miata,excellent,4 cylinders,gas,190000.0,automatic,convertible,27.5429,-82.563
